id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5097398930,Sean Noh,https://api.openalex.org/works?filter=author.id:A5097398930,0,6,GB
https://openalex.org/A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,53,637,JP
https://openalex.org/A5067206551,Sebastiano Bontorin,https://api.openalex.org/works?filter=author.id:A5067206551,3,11,IT
https://openalex.org/A5014394213,Xuechunzi Bai,https://api.openalex.org/works?filter=author.id:A5014394213,10,33,US
https://openalex.org/A5008439962,Stefan M. Herzog,https://api.openalex.org/works?filter=author.id:A5008439962,26,124,DE
https://openalex.org/A5062365263,Fengli Xu,https://api.openalex.org/works?filter=author.id:A5062365263,23,105,CN
https://openalex.org/A5015171883,JungHwan Yang,https://api.openalex.org/works?filter=author.id:A5015171883,16,61,US
https://openalex.org/A5010287399,Inho Hong,https://api.openalex.org/works?filter=author.id:A5010287399,6,37,KR
https://openalex.org/A5023211206,Yuhao Du,https://api.openalex.org/works?filter=author.id:A5023211206,8,26,CN
https://openalex.org/A5100374296,Jaehong Kim,https://api.openalex.org/works?filter=author.id:A5100374296,22,75,KR
https://openalex.org/A5100329996,Xi Chen,https://api.openalex.org/works?filter=author.id:A5100329996,102,2091,CN
https://openalex.org/A5019917525,Xiaomeng Xiong,https://api.openalex.org/works?filter=author.id:A5019917525,0,2,CN
https://openalex.org/A5085921946,Keyon Vafa,https://api.openalex.org/works?filter=author.id:A5085921946,5,33,US
https://openalex.org/A5026429870,Jad Kabbara,https://api.openalex.org/works?filter=author.id:A5026429870,4,29,US
https://openalex.org/A5087795032,Sadamori Kojaku,https://api.openalex.org/works?filter=author.id:A5087795032,10,33,US
https://openalex.org/A5091266570,Sanmi Koyejo,https://api.openalex.org/works?filter=author.id:A5091266570,16,90,US
https://openalex.org/A5036233384,Sumeet Gulati,https://api.openalex.org/works?filter=author.id:A5036233384,16,59,CA
https://openalex.org/A5082698243,Cameron Martel,https://api.openalex.org/works?filter=author.id:A5082698243,15,46,US
https://openalex.org/A5049389261,Bence Ságvári,https://api.openalex.org/works?filter=author.id:A5049389261,10,55,HU
https://openalex.org/A5035143437,Koji Suzuki,https://api.openalex.org/works?filter=author.id:A5035143437,65,792,JP
https://openalex.org/A5018392096,Matteo Magnani,https://api.openalex.org/works?filter=author.id:A5018392096,29,192,SE
